	ak_035166	ak_016465	ak_024143	ak_037037	ak_024401	ak_097125	ak_097366	ak_032645	ak_037693	ak_034033	ak_033463	ak_099390	ak_015445	ak_023546	ak_032440	op_033472	op_038401	op_102311	op_016307	op_023502	op_023870	op_098441	op_107201	op_035169	op_024146	op_024199	op_015958	op_032024	op_103496	op_023549
1200	0	1	0	0	10	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	4	0	1	0	0	0
1215	0	0	0	2	0	0	0	0	1	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	1	0	0	1	3	0
1223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	1	0	0	0	0
1256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1286	1	0	0	4	0	0	17	0	0	0	0	0	0	0	4	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0
1312	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	4	0	5
1342	1	0	1	0	0	0	0	0	0	0	4	1	1	0	1	2	4	0	0	3	0	0	1	0	0	0	2	0	1	4
1354	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
1367	0	0	0	0	0	0	0	3	1	0	25	0	0	0	0	0	21	2	2	1	0	1	3	0	0	5	0	1	0	0
1370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	1	0	0	0	0
1383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	2	0	9	0	3	0	0	0	0	1	0	0
1388	0	0	0	0	0	0	0	0	2	0	3	2	0	0	2	27	3	2	0	0	1	0	0	0	1	2	5	0	1	1
1419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
1424	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	0	1	0	0	0	0	1	0	0	0	0
1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0
