	root	phylum	class	order	family	genus
9347	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
9356	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
9419	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
9422	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
9436	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella
9447	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
9449	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
9454	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
9464	Root	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
9467	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
9488	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
9508	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
9522	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
9524	Root	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
9534	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
9546	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
9556	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
9564	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
9571	unk	unk	unk	unk	unk	unk
9573	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
9596	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
9632	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella
9636	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
9646	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
9648	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
9651	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
9664	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
9669	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
